CTY_CODE,CTY_NAME,GEN_VAL_MO,time,year,month,quarter,mom_change,rolling_3_month_avg,rolling_6_month_avg,historical_mean,historical_std,deviation_from_avg,high_disruption_risk
5180,QATAR,200718189,2022-04-01,2022,4,2,0.22564099886734645,207179239.66666666,228879548.66666666,145357506.10714287,71905418.53474034,0.769909751183914,0
5180,QATAR,309436818,2022-05-01,2022,5,2,0.5416481164046374,224640299.0,246177612.0,151015413.41379312,76903042.8176846,2.0600147768116184,0
5180,QATAR,233739930,2022-06-01,2022,6,2,-0.24462792918197607,247964979.0,253410617.5,153772897.3,77060079.1081023,1.0377232105850775,1
5180,QATAR,273644681,2022-07-01,2022,7,3,0.17072286707709727,272273809.6666667,239726524.66666666,157639729.03225806,78764445.97292796,1.4728085817757657,0
5180,QATAR,138190517,2022-08-01,2022,8,3,-0.49500017140841124,215191709.33333334,219916004.16666666,157031941.15625,77559880.99445054,-0.24292745056684803,1
5180,QATAR,142785896,2022-09-01,2022,9,3,0.033253938835759556,184873698.0,216419338.5,156600242.8181818,76378659.72096057,-0.1808665780291343,0
5180,QATAR,242643175,2022-10-01,2022,10,4,0.699349738296281,174539862.66666666,223406836.16666666,159130917.29411766,76646379.79368882,1.089578632815726,0
5180,QATAR,401922311,2022-11-01,2022,11,4,0.6564336128555852,262450460.66666666,238821085.0,166067814.25714287,85942434.67488344,2.7443311052925674,0
5180,QATAR,188841387,2022-12-01,2022,12,4,-0.5301545054063943,277802291.0,231337994.5,166700413.5,84790784.49208038,0.2611247629401048,1
5180,QATAR,252664764,2023-01-01,2023,1,1,0.33797346023517605,281142820.6666667,227841341.66666666,169023774.3243243,84790893.6197408,0.9864383556420333,0
5180,QATAR,221909751,2023-02-01,2023,2,1,-0.1217226039480519,221138634.0,241794547.33333334,170415510.5526316,84076086.24066438,0.6124719019385398,0
5180,QATAR,222245362,2023-03-01,2023,3,1,0.001512376083014022,232273292.33333334,255037791.66666666,171744481.1025641,83376542.7418442,0.6056965093143759,0
5180,QATAR,218124322,2023-04-01,2023,4,2,-0.018542749162072547,220759811.66666666,250951316.16666666,172903977.125,82626737.43466216,0.5472846475483604,0
5180,QATAR,126846086,2023-05-01,2023,5,2,-0.4184688583238324,189071923.33333334,205105278.66666666,171780613.92682928,81903834.07078308,-0.5486254512578237,1
5180,QATAR,74312949,2023-06-01,2023,6,2,-0.41414866360165026,139761119.0,186017205.66666666,169459955.23809522,82284941.86141291,-1.1563112774430229,1
5180,QATAR,101778845,2023-07-01,2023,7,3,0.3695977130446,100979293.33333333,160869552.5,167885975.93023255,81952001.33507207,-0.8066566996935733,0
5180,QATAR,72436423,2023-08-01,2023,8,3,-0.2882958830983,82842739.0,135957331.16666666,165716667.9090909,82261782.87445186,-1.1339438758755747,1
5180,QATAR,184048495,2023-09-01,2023,9,3,1.5408280444770166,119421254.33333333,129591186.66666667,166124041.84444445,81367520.26905392,0.22029002599914133,0
